site,name,employer,location,salary_min,salary_max,salary_currency,link
hh.ru,Ведущий разработчик Python,ADV/web-engineering,,,,,https://sosnovoborsk.hh.ru/vacancy/70348684
hh.ru,Разработчик python (Middle/Senior),Eqvanta,,,,,https://sosnovoborsk.hh.ru/vacancy/69331999
hh.ru,Python-разработчик,Star-Staff,,,250000,руб,https://sosnovoborsk.hh.ru/vacancy/69959493
hh.ru,Python/Django Developer (HR платформа),Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69304376
hh.ru,Senior Python developer,"Hi, Rockits!",,,7000,USD,https://sosnovoborsk.hh.ru/vacancy/70094842
hh.ru,Full-stack разработчик (Python/JS),Enjoypro,,,220000,руб,https://sosnovoborsk.hh.ru/vacancy/69430786
hh.ru,Middle/Senior Python Developer,ООО МВП,,,250000,руб,https://sosnovoborsk.hh.ru/vacancy/69054293
hh.ru,Преподаватель по программированию в онлайн-школе (Python в Minecraft),ООО Айтигенио,,,70000,руб,https://sosnovoborsk.hh.ru/vacancy/69755577
hh.ru,"Data Engineer (Python), remote",Wise Wolves Group,,,,,https://sosnovoborsk.hh.ru/vacancy/70195952
hh.ru,"Data Engineer (Python), remote",Wise Wolves Group,,,,,https://sosnovoborsk.hh.ru/vacancy/70195991
hh.ru,Python-программист (отдел автоматизированного тестирования),GetCoreTeam.com,,30000,50000,руб,https://sosnovoborsk.hh.ru/vacancy/69894489
hh.ru,Python программист (Наставник онлайн-курса по Python),Hexlet,,,80000,руб,https://sosnovoborsk.hh.ru/vacancy/67864415
hh.ru,Наставник курсов по Python разработке,Skyeng,,40000,80000,руб,https://sosnovoborsk.hh.ru/vacancy/70165691
hh.ru,Python Developer (CRM),"Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels)",,,,,https://sosnovoborsk.hh.ru/vacancy/68058800
hh.ru,Руководитель Backend разработки (Python),Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/70152181
hh.ru,Python Developer в команду тестирования,Tradetech Development,,,,,https://sosnovoborsk.hh.ru/vacancy/69045414
hh.ru,Senior Python разработчик,Enjoypro,,,250000,руб,https://sosnovoborsk.hh.ru/vacancy/69615484
hh.ru,Разработчик python (Middle/Senior),Eqvanta,,,,,https://sosnovoborsk.hh.ru/vacancy/69332000
hh.ru,Код-ревьюер на курс “Асинхронное программирование на Python”,Яндекс Практикум,,,,,https://sosnovoborsk.hh.ru/vacancy/70337221
hh.ru,Senior backend - разработчик на python,ООО Фуллстатс,,,,,https://sosnovoborsk.hh.ru/vacancy/69869791
hh.ru,Team Lead Python,Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69577881
hh.ru,"Старший Python Developer (Django), проекты в строительной сфере",Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69416439
hh.ru,Senior Python разработчик,Домклик,,,,,https://sosnovoborsk.hh.ru/vacancy/68918046
hh.ru,Разработчик Python под Linux,ООО Айдеко,,120000,,руб,https://sosnovoborsk.hh.ru/vacancy/38348123
hh.ru,Руководитель разработки (ТехЛид) Python/Django,Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69841981
hh.ru,Data Engineer(Python),АНО ЦИСМ,,,,,https://sosnovoborsk.hh.ru/vacancy/69908642
hh.ru,Наставник на курс “Асинхронное программирование на Python”,Яндекс Практикум,,,,,https://sosnovoborsk.hh.ru/vacancy/70337844
hh.ru,QA Automation (Python),Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69417621
hh.ru,Python Developer,ООО Axenix (ранее Accenture),,,,,https://sosnovoborsk.hh.ru/vacancy/69864652
hh.ru,Lead Python Developer / Ведущий разработчик Python,ООО Retail Rocket,,,,,https://sosnovoborsk.hh.ru/vacancy/69667539
hh.ru,Python Developer,ЕДИНЫЙ ЦУПИС,,,,,https://sosnovoborsk.hh.ru/vacancy/51099029
hh.ru,Team Lead/Senior Python Developer (remote),BestDoctor,,300000,,руб,https://sosnovoborsk.hh.ru/vacancy/69859260
hh.ru,Senior Python (Django) разработчик,Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69035681
hh.ru,FullStack QA Engineer (Python),ООО Защищенные Телекоммуникации,,,,,https://sosnovoborsk.hh.ru/vacancy/69362768
hh.ru,"Автор / Преподаватель курса ""Аналитик данных на Python"" (Онлайн)",Level UP,,,,,https://sosnovoborsk.hh.ru/vacancy/70414728
hh.ru,Middle+ backend python,Stroyportal.ru - интернет-площадка,,,,,https://sosnovoborsk.hh.ru/vacancy/70089365
hh.ru,Senior Python Developer (Django),Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/70328122
hh.ru,Python middle+ developer,Stroyportal.ru - интернет-площадка,,,,,https://sosnovoborsk.hh.ru/vacancy/70089376
hh.ru,Backend - разработчик Python (удаленная работа),BFG Group,,,,,https://sosnovoborsk.hh.ru/vacancy/68889796
hh.ru,Senior Python/Django разработчик,Группа Самолет,,,,,https://sosnovoborsk.hh.ru/vacancy/69542539
hh.ru,Python Developer,"Hi, Rockits!",,,300000,руб,https://sosnovoborsk.hh.ru/vacancy/69867626
hh.ru,Backend разработчик (Python),"РУСАЛ, Центр подбора персонала",,,,,https://sosnovoborsk.hh.ru/vacancy/69747451
hh.ru,Senior BackEnd разработчик (Python),ООО Верме,,,,,https://sosnovoborsk.hh.ru/vacancy/70112152
hh.ru,Backend developer (Python) Middle,АО Гринатом,,,240500,руб,https://sosnovoborsk.hh.ru/vacancy/69719603
hh.ru,Python разработчик (Middle),ООО Лаборатория Наносемантика,,,,,https://sosnovoborsk.hh.ru/vacancy/70019760
hh.ru,Python разработчик (дистанционно),Programming Store,,,200000,руб,https://sosnovoborsk.hh.ru/vacancy/55590159
hh.ru,"Автор / Преподаватель курса ""Автоматизация тестирования ПО на языке Python"" (Онлайн)",Level UP,,,,,https://sosnovoborsk.hh.ru/vacancy/70413748
hh.ru,Senior Python developer (MLOps),Wisebits,,3500,,EUR,https://sosnovoborsk.hh.ru/vacancy/55856392
hh.ru,Python Developer,ООО ИЦ АЙ-ТЕКО,,,,,https://sosnovoborsk.hh.ru/vacancy/69683373
hh.ru,"Разработчик Python (Middle, Senior)",NGENIX,,,,,https://sosnovoborsk.hh.ru/vacancy/55088580
hh.ru,Python Developer,Компэл,,,,,https://sosnovoborsk.hh.ru/vacancy/69345269
hh.ru,Automation QA Engineer (Python),Prooftechit,,,,,https://sosnovoborsk.hh.ru/vacancy/69593573
hh.ru,Back-end разработчик (Python),ООО Юникорн,,,,,https://sosnovoborsk.hh.ru/vacancy/68599942
hh.ru,Наставник курсов по Python разработке,Skyeng,,40000,80000,руб,https://sosnovoborsk.hh.ru/vacancy/70165692
hh.ru,Senior Backend Python Developer со знанием С++ продукт Audiogramm (MTS AI),ПАО «МТС» ,,250000,,руб,https://sosnovoborsk.hh.ru/vacancy/49254587
hh.ru,Python developer,INSITECH Development,,,,,https://sosnovoborsk.hh.ru/vacancy/69711587
hh.ru,Python-разработчик,ООО ДЖАСТ ВОРК,,120000,190000,руб,https://sosnovoborsk.hh.ru/vacancy/69484199
hh.ru,Python back-end разработчик,ООО ПромоДата,,100000,,руб,https://sosnovoborsk.hh.ru/vacancy/68610452
hh.ru,Python developer (проект с нуля),ООО Константа,,170000,,руб,https://sosnovoborsk.hh.ru/vacancy/48725584
hh.ru,Middle Python Backend Developer (remote/full time),ООО ЛегоКар,,,200000,руб,https://sosnovoborsk.hh.ru/vacancy/69342551
hh.ru,Python developer,INSITECH Development,,,,,https://sosnovoborsk.hh.ru/vacancy/69711588
hh.ru,Разработчик Python/Django (Middle / Senior) (аккредитованная IT-компания),AlfaBit.Group,,200000,350000,руб,https://sosnovoborsk.hh.ru/vacancy/69612685
hh.ru,Python-разработчик,Клиника Мпрофико,,,,,https://sosnovoborsk.hh.ru/vacancy/69649335
hh.ru,Python developer,ООО Либерти,,150000,220000,руб,https://sosnovoborsk.hh.ru/vacancy/69492914
hh.ru,Data-аналитик Python,ФАНУ Востокгосплан,,100000,120000,руб,https://sosnovoborsk.hh.ru/vacancy/69590411
hh.ru,Python-разработчик (Django),MST,,,175000,руб,https://sosnovoborsk.hh.ru/vacancy/69694383
